RecordID,PlayerID,Club,Position,BaseSalary,GuaranteedComp,Year
CECflW4v,dUxZ6M,RBNY,D,"65000.0","65000.0",2012
x2gMsSqn,dUxZ6M,DAL,D,"46500.0","46500.0",2013
wjA9yQLK,dUxZ6M,DAL,D,"48825.0","48825.0",2014
8VdjB3kn,dUxZ6M,DAL,D,"60000.0","60000.0",2015
odgZkTh4,dMjvcn,RSL,F,"65500.00","81500.00",2022
pkeB6Lo4,dMjvcn,RSL,F,"85444.00","101444.00",2023
R3YUugfO,dMjvcn,RSL,F,"110000.00","126000.00",2024
9z0ZWb4x,dMjvcn,RSL,F,"140000.00","156000.00",2025 Sp
pUvXjSR8,osbc9Q,CLB,D,"90000.00","110000.00",2019
2rDb0hMp,osbc9Q,CLB,D,"100000.00","100000.00",2020
LcSqPN7s,osbc9Q,CLB,D,"110000.00","110000.00",2021
3LsUfdEj,osbc9Q,COL,D,"135000.00","135000.00",2022
KYXMRio5,osbc9Q,COL,D,"215000.00","245313.00",2023
EL3vZART,aBfc0K,MLS,F,"324999.96","367291.71",2018
EsW16TgJ,yFwrTr,SEA,GK,"","",2008
7I7R9cey,yFwrTr,SEA,GK,"300000.0","300000.0",2009
enA85BJf,yFwrTr,SEA,GK,"300000.0","300000.0",2010
LjAFUN8M,yFwrTr,SEA,GK,"250000.0","250000.0",2011
UDdvLhRT,MWiYqQ,ATX,D,"84000.00","96500.00",2022
a5iyg5gg,MWiYqQ,ATX,D,"100000.00","112500.00",2023
FYYwfKtu,MWiYqQ,CIN,D,"89716.00","89716.00",2024
PEYPgluP,MWiYqQ,MNUFC,D,"104000.00","104000.00",2025 Sp
3rBaAziM,guhJNZ,DC,F,"67500.00","69500.00",2018
iUJdc2on,PxdUc4,COL,D,"81375.00","81375.00",2020
590bOm6W,PxdUc4,COL,D,"85444.00","85444.00",2021
iB7eOJ2b,WetouI,CIN,F,"480000.00","485533.00",2024
