FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Jefferson,Valverde,Houston Dynamo,M,"249,996.00","291,657.00"
Leo,Afonso,Inter Miami,F,"80,622.00","80,622.00"
Jordi,Alba,Inter Miami,D,"6,000,000.00","6,000,000.00"
Noah,Allen,Inter Miami,D,"125,000.00","126,667.00"
Tadeo,Allende,Inter Miami,F,"1,000,000.00","1,000,000.00"
Tomás,Avilés,Inter Miami,D,"439,992.00","467,492.00"
Israel,Boatwright,Inter Miami,D,"104,000.00","106,000.00"
Yannick,Bright,Inter Miami,M,"80,622.00","83,647.00"
Sergio,Busquets,Inter Miami,M,"8,499,996.00","8,774,996.00"
Drake,Callender,Inter Miami,GK,"399,996.00","455,913.00"
Benja,Cremaschi,Inter Miami,M,"400,000.00","502,500.00"
Maximiliano,Falcón,Inter Miami,D,"450,000.00","524,250.00"
Ian,Fray,Inter Miami,D,"150,000.00","150,000.00"
Tyler,Hall,Inter Miami,D,"104,000.00","104,000.00"
Gonzalo,Luján,Inter Miami,D,"526,500.00","818,250.00"
David,Martínez,Inter Miami,D,"700,000.00","839,839.00"
Lionel,Messi,Inter Miami,F,"12,000,000.00","20,446,667.00"
Santiago,Morales,Inter Miami,M,"104,000.00","112,333.00"
Allen,Obando,Inter Miami,F,"500,000.00","527,885.00"
Fafà,Picault,Inter Miami,F,"600,000.00","642,000.00"
Federico,Redondo,Inter Miami,M,"732,000.00","837,000.00"
Rocco,Ríos Novo,Inter Miami,GK,"104,000.00","122,866.00"
Baltasar,Rodríguez,Inter Miami,M,"440,000.00","440,000.00"
David,Ruíz,Inter Miami,M,"104,000.00","106,000.00"
Ryan,Sailor,Inter Miami,D,"104,000.00","104,000.00"
Telasco,Segovia,Inter Miami,M,"300,000.00","335,000.00"
Luis,Suárez,Inter Miami,F,"1,500,000.00","1,500,000.00"
Óscar,Ustari,Inter Miami,GK,"696,000.00","744,000.00"
Marcelo,Weigandt,Inter Miami,D,"500,000.00","734,708.00"
William ,Yarbrough,Inter Miami,GK,"150,000.00","150,000.00"
Julián,Aude,LA Galaxy,D,"350,000.00","360,000.00"
Miguel,Berry,LA Galaxy,F,"225,000.00","231,667.00"
Edwin,Cerrillo,LA Galaxy,M,"525,000.00","537,500.00"
